"Jayaprakash Narayana Valluru","Andhra Pradesh",Guntur,11841,0.88,"Bharatiya Janata Party",44,"Graduate Professional",39526187,0,"",Business
"Nagaraju Ekula","Andhra Pradesh",Guntur,920,0.07,"Republican Party of India (A)",,,,,,
"Bonaboyina Srinivasa Rao","Andhra Pradesh",Guntur,129205,9.56,"Janasena Party",50,"10th Pass",32876690,12482935,420|468|426|464|471|120B|34,Business
"Mannava Hariprasad","Andhra Pradesh",Guntur,3216,0.24,"Communist Party of India (Marxist-Leninist) Red Star",55,"Graduate Professional",14668071,107102,"",Adovacate
"Ramarao Simhadri","Andhra Pradesh",Guntur,1746,0.13,"Praja Shanthi Party",41,"5th Pass",219000,0,"","construction Worker"
"Jacob Vidyasagar Nakka","Andhra Pradesh",Guntur,641,0.05,"Viduthalai Chiruthaigal Katchi",51,"Post Graduate",3073000,0,153A|143|188|501|149,"Social Activist ,Journalist"
"Sarabandi Raju Sikhinam","Andhra Pradesh",Guntur,1017,0.08,"Indian Labour Party (Ambedkar Phule)",35,"Post Graduate",30000,0,"","Un employed"
"Shaik Jaleel","Andhra Pradesh",Guntur,563,0.04,"Navarang Congress Party",43,"5th Pass",72625000,0,"",Agriculturist
"Samudrala Chinna Kotaiah","Andhra Pradesh",Guntur,628,0.05,"National Dalitha Dhal Party",41,"10th Pass",2024577,1500000,"",Painter
"Modugula Venugopala Reddy","Andhra Pradesh",Guntur,583713,43.19,"Yuvajana Sramika Rythu Congress Party",52,"Graduate Professional",137466129,1675274,307|324|186|500|147|148|447|149|143|341,"Business and Agriculturist"
"Dasari Kiran Babu","Andhra Pradesh",Guntur,2909,0.22,Independent,37,"8th Pass",5980980,2645782,"",Business
"Doppalapudi Veera Das","Andhra Pradesh",Guntur,629,0.05,Independent,60,Graduate,5990000,880000,"","SBI pensioner"
"Yanamadala Venkata Suresh","Andhra Pradesh",Guntur,1947,0.14,Independent,50,Graduate,1302000,0,"","Self Employee"
Nota,"Andhra Pradesh",Guntur,6006,0.44,"None of the Above",,,,,,
"Araveti Hazarath Rao","Andhra Pradesh",Guntur,810,0.06,"Pyramid Party of India",68,"Graduate Professional",14924686,180700,"",Pensioner
"Shaik Mastanvali","Andhra Pradesh",Guntur,14205,1.05,"Indian National Congress",53,"Post Graduate",62806111,0,143|291|341|188|149,Business
"Umar Basha Shaik","Andhra Pradesh",Guntur,2676,0.2,Independent,29,"Graduate Professional",15008000,2000000,"",Advocate
"Ullagi David Jayakumar","Andhra Pradesh",Guntur,447,0.03,"Hardam Manavtawadi Rashtriya Dal",61,Doctorate,131900,0,"","senior teacher/ Principal"
"Jeldi Raja Mohan","Andhra Pradesh",Guntur,437,0.03,"All India Praja Party",61,"12th Pass",4209000,30000,"","Self employee and bussiness"
"Jayadev Galla","Andhra Pradesh",Guntur,587918,43.5,"Telugu Desam",53,Graduate,3051485242,203452417,"","business and agriculture"
"John Barla","West Bengal",Alipurduars,750804,54.4,"Bharatiya Janata Party",43,"8th Pass",1418730,0,379|436|506|333|307|332|435|453|325|326|147|148|149|427|283|353|143|188|117|120B|323|186|341|342|145,"Tea Garden Worker"
"Rabichan Rabha","West Bengal",Alipurduars,4165,0.3,"SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",49,"10th Pass",1083670,0,"",Cultivation
"Gergory Trikey","West Bengal",Alipurduars,4303,0.31,Independent,36,Graduate,1461968,361000,"","Transportation Business"
"Prasen Jayant Kindo","West Bengal",Alipurduars,11518,0.83,Independent,32,Graduate,86659,0,"","Self Employed"
Nota,"West Bengal",Alipurduars,21175,1.53,"None of the Above",,,,,,
"Mili Oraon","West Bengal",Alipurduars,54010,3.91,"Revolutionary Socialist Party",42,"Post Graduate",2804955,304672,"","Home Maker"
"Mohanlal Basumata","West Bengal",Alipurduars,27427,1.99,"Indian National Congress",44,"Graduate Professional",2320328,659760,"","Asstt. School Teacher"
"Dasrath Tirkey","West Bengal",Alipurduars,506815,36.72,"All India Trinamool Congress",52,Graduate,9039609,581713,"",Politician
"Adv. Ahire Vaibhav Shantaram",Maharashtra,Nashik,5719,0.51,"Bahujan Samaj Party",39,"Graduate Professional",991506,0,"",Advocate
"Godse Hemant Tukaram",Maharashtra,Nashik,563599,50.27,Shivsena,49,Others,146869996,41083126,188,"Builder and Developers & Agriculture"
"Vinod Vasant Shirsath",Maharashtra,Nashik,1362,0.12,"Hindustan Janta Party",26,"10th Pass",50000,0,"",Labour
"Jawale Soniya Ramnath",Maharashtra,Nashik,6952,0.62,"Bhartiya Tribal Party",40,"12th Pass",3729500,1389941,"","Not Applicable"
"Sanjay Sukhdev Ghodke",Maharashtra,Nashik,899,0.08,"Bahujan Republican  Socialist Party",48,Others,3291484,2350000,"","Agriculture, Job, Mahindra & Mahindra"
"Aher Sharad Keru",Maharashtra,Nashik,1387,0.12,Independent,30,Graduate,378603,0,"","Agricultural  Labour"
"Kanoje Prakash Giridhar",Maharashtra,Nashik,922,0.08,Independent,51,"12th Pass",980202,200000,"","Homemade Laundry Business"
"Kedar Sindhubai Ravindra",Maharashtra,Nashik,1736,0.15,Independent,55,"5th Pass",5923410,700000,"","Tea Stall Business"
"Adv. Kokate Manikrao Shivajirao",Maharashtra,Nashik,134527,12.0,Independent,61,"Graduate Professional",214414506,51037153,420|467|474|465|471|34,Farmer
"Devidas Piraji Sarkate",Maharashtra,Nashik,4274,0.38,Independent,45,"10th Pass",60000,0,"",Unemployed
"Dhananjay Anil Bhawsar",Maharashtra,Nashik,1885,0.17,Independent,39,"12th Pass",3542372,2962930,"",Business
"Priyanka Ramrao Shirole",Maharashtra,Nashik,2206,0.2,Independent,28,Graduate,0,0,"",Journalist
"Vilas Madhukar Desale (patil)",Maharashtra,Nashik,3826,0.34,Independent,46,"10th Pass",25701660,0,"","Ice Cream Parlor Distribution And Retail"
"Sharad Damu Dhanrao",Maharashtra,Nashik,835,0.07,Independent,40,"12th Pass",165000,0,"",Agricultural
"Sudhir Shridhar Deshmukh",Maharashtra,Nashik,1881,0.17,Independent,58,"Post Graduate",15447971,500000,406|420|468|403|418|465|471|120B,"Advocate Business"
Nota,Maharashtra,Nashik,6980,0.62,"None of the Above",,,,,,
"Pavan Chandrakant Pawar",Maharashtra,Nashik,109981,9.81,"Vanchit Bahujan Aaghadi",38,Others,9091869,0,506|307|332|302|395|397|333|386|212|420|468|504|34|353|143|147|148|336|189|427|447|323|471,"Agricultural  And Civil Contractor"
"Sameer Magan Bhujbal",Maharashtra,Nashik,271395,24.21,"Nationalist Congress Party",45,"10th Pass",654659863,130481204,420|468|406|409|466|467|506|120B|109|34|447|465|471|143|147|427|186|188|149|336|352|504,Business
"Shivnath Vithoba Kasar",Maharashtra,Nashik,866,0.08,"Bahujan Mukti Party",54,"10th Pass",30000,0,"",Agriculture
